"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","James van Riemsdyk","L","1","0.63333333333333","1","1","50.00","1","1","50.00","1","1","50.00","0","0","0.00","1","0","100.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","0","1","0","0.00"
"","Tyler Bozak","C","1","0.63333333333333","1","1","50.00","1","1","50.00","1","1","50.00","0","0","0.00","1","0","100.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","0","1","0","0.00"
"","Connor Carrick","D","1","0.86666666666667","1","1","50.00","1","1","50.00","1","1","50.00","0","0","0.00","1","0","100.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","0","1","0","0.00"
"","Connor Brown","R","1","0.63333333333333","1","1","50.00","1","1","50.00","1","1","50.00","0","0","0.00","1","0","100.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","0","1","0","0.00"
"","Travis Dermott","D","1","0.91666666666667","1","1","50.00","1","1","50.00","1","1","50.00","0","0","0.00","1","0","100.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","0","1","0","0.00"
"","Patrick Marleau","C","1","0.56666666666667","2","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","100.00","100.00","2.000","0","0","0","0.00"
"","Ron Hainsey","D","1","0.41666666666667","2","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","100.00","100.00","2.000","0","0","0","0.00"
"","Nazem Kadri","C","1","0.56666666666667","2","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","100.00","100.00","2.000","0","0","0","0.00"
"","Morgan Rielly","D","1","0.41666666666667","2","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","100.00","100.00","2.000","0","0","0","0.00"
"","Mitchell Marner","C","1","0.56666666666667","2","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","100.00","100.00","2.000","0","0","0","0.00"
"","Jake Gardiner","D","1","0.63333333333333","1","0","100.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","0","0","0.00"
"","Zach Hyman","C","1","0.71666666666667","1","0","100.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","0","0","0.00"
"","William Nylander","C","1","0.71666666666667","1","0","100.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","0","0","0.00"
"","Auston Matthews","C","1","0.71666666666667","1","0","100.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","0","0","0.00"
"","Nikita Zaitsev","D","1","0.58333333333333","1","0","100.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","0","0","0.00"
