"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Ron Hainsey","D","1","3.7","2","2","50.00","2","2","50.00","2","2","50.00","1","0","100.00","1","2","33.33","1","1","50.00","1","0","100.00","50.00","100.00","1.500","2","2","0","100.00"
"","Morgan Rielly","D","1","3.95","2","2","50.00","2","2","50.00","2","2","50.00","1","0","100.00","1","2","33.33","1","1","50.00","1","0","100.00","50.00","100.00","1.500","2","2","0","100.00"
"","Patrick Marleau","C","1","2.15","1","2","33.33","0","2","0.00","0","2","0.00","0","0","0.00","1","1","50.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","2","1","0","100.00"
"","Leo Komarov","C","1","2.15","1","2","33.33","0","2","0.00","0","2","0.00","0","0","0.00","1","1","50.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","2","1","0","100.00"
"","Nazem Kadri","C","1","2.3","1","2","33.33","0","2","0.00","0","2","0.00","0","0","0.00","1","1","50.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","2","1","0","100.00"
"","William Nylander","C","1","2.8166666666667","3","1","75.00","3","1","75.00","3","1","75.00","2","0","100.00","2","1","66.67","1","0","100.00","1","0","100.00","66.67","100.00","1.667","0","3","0","0.00"
"","Auston Matthews","C","1","3.0166666666667","3","1","75.00","3","1","75.00","3","1","75.00","2","0","100.00","2","1","66.67","1","0","100.00","1","0","100.00","66.67","100.00","1.667","0","3","0","0.00"
"","Zach Hyman","C","1","2.7333333333333","2","1","66.67","2","1","66.67","2","1","66.67","2","0","100.00","2","1","66.67","1","0","100.00","1","0","100.00","100.00","100.00","2.000","0","3","0","0.00"
"","Jake Gardiner","D","1","2.3333333333333","2","1","66.67","1","1","50.00","1","1","50.00","1","0","100.00","2","0","100.00","0","0","0.00","0","0","0.00","100.00","100.00","2.000","0","2","0","0.00"
"","Nikita Zaitsev","D","1","2.1833333333333","2","1","66.67","1","1","50.00","1","1","50.00","1","0","100.00","2","0","100.00","0","0","0.00","0","0","0.00","100.00","100.00","2.000","0","2","0","0.00"
"","James van Riemsdyk","L","1","1.6","1","0","100.00","1","0","100.00","1","0","100.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","0","1","0.00"
"","Matt Martin","L","1","1.8833333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","0","0","100.00"
"","Tyler Bozak","C","1","1.4333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","0","1","0.00"
"","Connor Carrick","D","1","2.2833333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","0","1","50.00"
"","Connor Brown","R","1","1.6","1","0","100.00","1","0","100.00","1","0","100.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","0","1","0.00"
"","Andreas Borgman","D","1","2.2833333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","0","1","50.00"
"","Eric Fehr","C","1","1.6666666666667","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","0","0","100.00"
"","Mitchell Marner","C","1","1.75","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","0","0","100.00"
